"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5","final_design.6","final_design.7","final_design.8"
"466",364,80,323,625,729,762,304,737
"467",168,212,262,325,396,569,781,479
"468",69,136,147,713,953,112,589,112
"469",948,328,527,70,384,478,394,119
"470",937,928,605,956,815,856,593,818
"471",54,883,327,626,271,913,902,874
"472",613,438,939,676,828,830,162,657
"473",497,658,221,79,989,838,713,12
"474",293,257,369,903,580,418,117,669
"475",660,858,681,100,633,108,54,501
"476",19,530,129,143,976,511,744,970
"477",499,796,865,542,222,286,149,2
"478",334,64,819,251,544,292,505,627
"479",870,571,363,540,804,56,255,871
"480",479,995,564,370,451,526,864,764
"481",349,555,512,193,139,808,34,36
"482",313,394,537,163,817,756,246,3
"483",733,390,514,334,340,909,388,586
"484",423,827,197,271,414,689,432,672
"485",255,724,300,411,37,31,306,488
"486",440,642,914,252,229,523,542,489
"487",244,737,687,867,242,86,871,881
"488",758,487,219,129,693,8,15,805
"489",245,450,817,43,743,726,552,920
"490",996,1000,561,715,44,922,262,480
"491",301,53,241,301,379,328,41,11
"492",140,561,849,880,553,443,392,967
"493",222,514,343,396,375,115,619,427
"494",52,325,242,118,574,982,927,393
"495",894,999,109,261,695,276,209,63
"496",522,927,251,678,252,195,168,297
"497",505,8,420,510,819,17,222,293
"498",240,666,592,363,503,378,626,238
"499",406,175,974,776,126,613,110,312
"500",559,479,805,985,309,734,287,236
"501",874,397,258,870,213,943,503,643
"502",982,599,68,408,667,572,544,736
"503",815,49,63,493,596,269,271,239
"504",210,400,934,816,945,665,363,195
"505",858,881,104,907,744,784,381,624
"506",615,357,768,394,264,163,352,466
"507",776,887,138,453,352,141,497,484
"508",388,705,183,895,852,603,511,154
"509",501,205,493,791,697,506,376,554
"510",373,948,946,499,217,894,72,710
"511",719,424,489,790,228,678,920,755
"512",513,526,475,197,606,705,509,914
"513",218,632,176,90,880,880,753,555
"514",70,801,762,215,465,891,526,516
"515",751,776,756,398,739,264,776,801
"516",431,749,876,781,706,908,268,799
"517",271,720,383,835,342,724,642,87
"518",253,112,424,140,348,972,368,61
"519",407,329,676,303,684,235,335,249
"520",971,987,917,709,630,633,795,471
"521",238,358,139,207,808,301,566,929
"522",262,223,123,475,573,564,347,462
"523",412,549,210,804,64,906,160,630
"524",3,757,93,877,46,496,506,169
"525",906,936,725,805,325,512,838,601
"526",110,590,585,689,421,11,293,994
"527",825,23,521,528,554,4,535,536
"528",452,473,941,287,144,946,353,866
"529",917,137,663,815,672,691,40,296
"530",347,96,346,604,996,985,720,537
"531",903,214,572,351,93,371,267,703
"532",335,910,851,327,183,704,14,529
"533",571,279,206,697,353,504,676,741
"534",974,330,304,665,772,266,645,873
"535",896,727,376,152,243,429,324,376
"536",43,200,600,78,1,510,24,927
"537",26,823,836,364,199,5,380,30
"538",17,141,986,965,803,935,181,563
"539",257,216,938,739,151,430,18,109
"540",31,568,870,602,947,817,13,183
"541",411,508,103,378,43,134,880,49
"542",21,402,517,306,250,7,996,894
"543",833,963,298,173,354,610,64,953
"544",421,958,180,933,206,997,667,803
"545",465,307,377,127,708,743,549,315
"546",233,384,38,628,752,655,70,350
"547",621,577,723,423,163,618,280,795
"548",413,600,554,557,973,444,860,46
"549",4,919,777,94,603,577,448,365
"550",434,852,355,754,920,208,947,106
"551",953,517,224,242,15,749,234,113
"552",521,129,710,670,991,416,743,170
"553",856,341,143,137,524,764,532,158
"554",553,17,124,733,869,900,766,924
"555",914,507,134,890,936,970,188,937
"556",455,407,194,157,330,60,928,245
"557",428,103,22,8,597,73,974,722
"558",726,14,391,352,919,872,45,118
"559",519,190,417,154,118,843,959,165
"560",537,563,423,646,584,937,827,783
"561",707,266,96,22,244,1,630,323
"562",642,92,803,845,156,129,679,412
"563",156,698,799,521,418,683,678,447
"564",249,504,529,831,270,542,966,418
"565",811,516,749,840,437,51,904,670
"566",526,41,896,756,875,574,488,98
"567",320,270,414,99,17,621,703,528
"568",504,261,830,459,131,118,450,596
"569",341,950,584,149,622,791,567,796
"570",459,544,106,865,224,216,315,225
"571",278,258,863,570,587,800,751,592
"572",372,207,169,727,31,121,796,825
"573",189,682,823,641,470,437,26,587
"574",800,181,253,977,639,700,433,291
"575",445,474,360,929,893,344,778,333
"576",586,850,606,669,890,696,537,519
"577",700,949,484,61,464,111,729,729
"578",143,373,783,387,674,38,237,337
"579",337,781,465,290,902,472,297,90
"580",408,235,897,797,489,703,848,891
"581",794,186,477,636,92,306,994,126
"582",379,299,335,81,555,221,978,286
"583",300,814,680,737,683,604,995,628
"584",620,503,9,170,487,988,601,201
"585",332,477,57,213,598,541,840,551
"586",644,449,326,448,76,530,581,947
"587",417,29,541,432,826,194,391,576
"588",597,536,387,409,736,568,182,125
"589",439,253,703,600,565,77,580,751
"590",361,970,771,861,591,9,614,450
"591",649,809,996,900,415,104,492,925
"592",45,278,385,760,509,294,233,433
"593",345,237,318,912,245,350,229,307
"594",367,409,759,16,806,521,708,583
"595",774,603,91,932,838,631,151,915
"596",545,110,964,945,32,140,557,998
"597",628,293,630,639,158,723,100,622
"598",5,363,419,828,195,119,153,973
"599",934,109,459,265,731,323,459,463
"600",561,234,588,889,257,976,334,144
"601",548,161,311,264,337,33,794,979
"602",694,539,351,329,615,225,473,757
"603",840,148,562,764,10,319,422,750
"604",453,218,283,420,935,457,721,877
"605",414,988,316,436,120,646,479,375
"606",198,62,788,65,3,686,442,128
"607",956,72,92,773,155,80,305,652
"608",220,518,464,684,479,490,515,809
"609",631,386,695,852,655,907,618,934
"610",518,574,150,520,428,738,997,696
"611",50,52,2,513,901,402,382,233
"612",570,699,203,326,480,345,239,969
"613",689,900,179,256,776,622,659,449
"614",184,128,694,202,517,24,158,491
"615",929,437,664,47,872,179,379,694
"616",481,817,500,139,68,153,356,136
"617",619,592,441,981,885,114,248,235
"618",878,5,240,6,918,481,560,256
"619",329,803,825,151,236,854,740,789
"620",895,298,782,605,429,545,574,768
"621",580,909,333,357,599,403,660,107
"622",162,588,543,594,215,353,748,715
"623",778,854,503,769,466,839,323,188
"624",769,168,196,834,608,85,957,605
"625",752,468,40,328,780,480,528,347
"626",728,58,460,679,770,52,786,617
"627",482,285,450,717,527,336,598,961
"628",144,926,227,598,814,740,281,594
"629",535,771,956,263,756,978,692,127
"630",391,875,617,392,60,718,756,395
"631",92,765,120,993,41,806,61,691
"632",242,885,971,53,103,681,221,698
"633",713,414,546,456,446,957,152,155
"634",740,359,909,655,539,819,890,244
"635",921,423,931,446,581,72,771,903
"636",181,448,985,389,365,902,976,858
"637",630,240,14,250,381,829,851,328
"638",71,894,357,503,585,661,371,907
"639",397,743,609,874,769,914,50,115
"640",83,918,882,529,837,211,739,368
"641",863,445,486,348,419,658,945,364
"642",416,759,5,702,735,285,683,566
"643",63,425,598,579,38,640,595,986
"644",539,365,835,223,974,642,242,289
"645",991,725,859,999,653,644,727,886
"646",237,480,569,587,914,125,944,559
"647",446,265,594,501,799,632,772,702
"648",549,807,29,428,864,786,1,374
"649",383,548,845,644,138,57,711,746
"650",276,886,652,568,956,775,508,229
"651",676,343,848,340,75,789,522,885
"652",923,196,137,286,482,774,694,556
"653",557,388,978,576,501,563,617,385
"654",634,739,209,761,116,629,656,37
"655",930,691,321,28,333,825,205,565
"656",567,451,438,888,34,181,983,523
"657",114,622,952,442,88,107,316,772
"658",296,527,679,491,295,516,52,870
"659",588,398,807,262,934,491,791,810
"660",693,382,211,284,62,596,11,505
"661",827,896,775,848,904,408,308,912
"662",579,101,350,860,500,746,74,514
"663",279,457,995,680,80,520,395,83
"664",801,529,195,49,230,919,519,1
"665",762,332,717,1000,2,889,301,353
"666",509,197,8,391,521,182,138,949
"667",738,87,626,304,586,519,604,879
"668",461,115,864,820,477,796,472,362
"669",123,863,34,29,324,420,338,47
"670",221,913,317,851,382,590,42,811
"671",217,233,827,998,646,488,897,92
"672",678,693,582,560,871,639,351,161
"673",266,484,366,882,475,643,811,770
"674",34,12,175,314,172,716,423,340
"675",661,252,502,972,100,760,817,94
"676",66,118,449,399,823,752,806,242
"677",104,992,263,959,728,192,699,14
"678",562,825,515,531,20,421,956,889
"679",720,443,653,987,907,271,687,34
"680",595,283,690,487,818,217,853,621
"681",286,925,303,238,542,588,686,416
"682",724,226,444,20,400,384,623,726
"683",985,455,207,358,944,6,405,267
"684",350,138,806,458,559,773,985,441
"685",422,251,114,216,358,22,29,656
"686",602,864,164,244,499,468,156,787
"687",669,63,403,988,796,232,174,830
"688",568,434,75,19,339,612,898,369
"689",653,816,87,585,734,88,235,785
"690",626,943,545,904,209,445,975,453
"691",933,853,4,490,687,685,330,997
"692",928,267,895,952,177,249,290,167
"693",913,366,813,447,292,745,605,196
"694",79,649,375,427,637,106,175,23
"695",327,183,659,413,332,932,588,194
"696",269,19,101,332,81,177,728,638
"697",44,934,936,130,300,342,955,548
"698",803,996,951,824,391,175,524,263
"699",488,113,657,87,941,797,130,713
"700",362,653,685,818,58,267,245,819
"701",768,617,627,85,705,673,322,649
"702",270,564,716,532,495,137,429,320
